test_login.py-37-tester-2020-04-13 17:03:18,948-日志信息：测试用例：正常登录执行中。。。
test_login.py-52-tester-2020-04-13 17:03:19,271-日志信息：测试用例：正常登录-Error，报错：0 != 1001
test_login.py-37-tester-2020-04-13 17:03:19,413-日志信息：测试用例：不输入手机号执行中。。。
test_login.py-47-tester-2020-04-13 17:03:19,506-日志信息：测试用例：不输入手机号-OK
test_login.py-37-tester-2020-04-13 17:03:19,632-日志信息：测试用例：输入错误（超过11位）的手机号执行中。。。
test_login.py-47-tester-2020-04-13 17:03:19,735-日志信息：测试用例：输入错误（超过11位）的手机号-OK
test_login.py-37-tester-2020-04-13 17:03:19,852-日志信息：测试用例：不输入密码执行中。。。
test_login.py-47-tester-2020-04-13 17:03:19,950-日志信息：测试用例：不输入密码-OK
test_login.py-37-tester-2020-04-13 17:03:20,064-日志信息：测试用例：只输入7位密码执行中。。。
test_login.py-47-tester-2020-04-13 17:03:20,354-日志信息：测试用例：只输入7位密码-OK
test_login.py-37-tester-2020-04-13 17:03:20,482-日志信息：测试用例：输入17位密码执行中。。。
test_login.py-47-tester-2020-04-13 17:03:20,701-日志信息：测试用例：输入17位密码-OK
test_login.py-37-tester-2020-04-13 17:03:20,828-日志信息：测试用例：输入错误的密码执行中。。。
test_login.py-47-tester-2020-04-13 17:03:21,055-日志信息：测试用例：输入错误的密码-OK
test_login.py-37-tester-2020-04-13 17:03:21,187-日志信息：测试用例：登录一个未注册的账号执行中。。。
test_login.py-47-tester-2020-04-13 17:03:21,398-日志信息：测试用例：登录一个未注册的账号-OK
test_register.py-37-tester-2020-04-13 17:03:22,551-日志信息：测试用例：正常注册执行中。。。
test_register.py-47-tester-2020-04-13 17:03:22,844-日志信息：测试用例：正常注册-OK
test_register.py-37-tester-2020-04-13 17:03:22,969-日志信息：测试用例：不输入手机号执行中。。。
test_register.py-47-tester-2020-04-13 17:03:23,066-日志信息：测试用例：不输入手机号-OK
test_register.py-37-tester-2020-04-13 17:03:23,188-日志信息：测试用例：输入错误（超过11位）的手机号执行中。。。
test_register.py-47-tester-2020-04-13 17:03:23,287-日志信息：测试用例：输入错误（超过11位）的手机号-OK
test_register.py-37-tester-2020-04-13 17:03:23,414-日志信息：测试用例：输入已经注册过的手机号执行中。。。
test_register.py-47-tester-2020-04-13 17:03:23,726-日志信息：测试用例：输入已经注册过的手机号-OK
test_register.py-37-tester-2020-04-13 17:03:23,836-日志信息：测试用例：不输入密码执行中。。。
test_register.py-47-tester-2020-04-13 17:03:23,934-日志信息：测试用例：不输入密码-OK
test_register.py-37-tester-2020-04-13 17:03:24,051-日志信息：测试用例：只输入7位密码执行中。。。
test_register.py-47-tester-2020-04-13 17:03:24,143-日志信息：测试用例：只输入7位密码-OK
test_register.py-37-tester-2020-04-13 17:03:24,276-日志信息：测试用例：输入17位密码执行中。。。
test_register.py-47-tester-2020-04-13 17:03:24,367-日志信息：测试用例：输入17位密码-OK
test_register.py-37-tester-2020-04-13 17:03:24,494-日志信息：测试用例：输入8位密码执行中。。。
test_register.py-37-tester-2020-04-13 17:03:24,762-日志信息：测试用例：输入16位密码执行中。。。
test_register.py-47-tester-2020-04-13 17:03:25,059-日志信息：测试用例：输入16位密码-OK
test_register.py-37-tester-2020-04-13 17:03:25,182-日志信息：测试用例：不输入type参数执行中。。。
test_register.py-47-tester-2020-04-13 17:03:25,447-日志信息：测试用例：不输入type参数-OK
test_register.py-37-tester-2020-04-13 17:03:25,575-日志信息：测试用例：输入type = 0执行中。。。
test_register.py-47-tester-2020-04-13 17:03:25,858-日志信息：测试用例：输入type = 0-OK
test_register.py-37-tester-2020-04-13 17:03:25,978-日志信息：测试用例：输入type = 1执行中。。。
test_register.py-47-tester-2020-04-13 17:03:26,259-日志信息：测试用例：输入type = 1-OK
test_register.py-37-tester-2020-04-13 17:03:26,385-日志信息：测试用例：输入type = 2执行中。。。
test_register.py-47-tester-2020-04-13 17:03:26,492-日志信息：测试用例：输入type = 2-OK
test_register.py-37-tester-2020-04-13 17:03:26,622-日志信息：测试用例：不输入reg_name执行中。。。
test_register.py-47-tester-2020-04-13 17:03:26,883-日志信息：测试用例：不输入reg_name-OK
test_register.py-37-tester-2020-04-13 17:03:27,024-日志信息：测试用例：输入reg_name为空执行中。。。
test_register.py-47-tester-2020-04-13 17:03:27,287-日志信息：测试用例：输入reg_name为空-OK
test_register.py-37-tester-2020-04-13 17:03:27,411-日志信息：测试用例：输入reg_name为1个位执行中。。。
test_register.py-47-tester-2020-04-13 17:03:27,683-日志信息：测试用例：输入reg_name为1个位-OK
test_register.py-37-tester-2020-04-13 17:03:27,814-日志信息：测试用例：输入reg_name为10位执行中。。。
test_register.py-47-tester-2020-04-13 17:03:28,086-日志信息：测试用例：输入reg_name为10位-OK
test_register.py-37-tester-2020-04-13 17:03:28,213-日志信息：测试用例：输入reg_name位11位执行中。。。
test_register.py-47-tester-2020-04-13 17:03:28,316-日志信息：测试用例：输入reg_name位11位-OK
test_withdraw.py-45-tester-2020-04-13 17:03:28,719-日志信息：测试用例：不输入token信息执行中。。。
test_withdraw.py-60-tester-2020-04-13 17:03:28,778-日志信息：测试用例：不输入token信息-OK
test_withdraw.py-45-tester-2020-04-13 17:03:29,007-日志信息：测试用例：不输入会员id执行中。。。
test_withdraw.py-60-tester-2020-04-13 17:03:29,062-日志信息：测试用例：不输入会员id-OK
test_withdraw.py-45-tester-2020-04-13 17:03:29,271-日志信息：测试用例：输入错误的会员id执行中。。。
test_withdraw.py-65-tester-2020-04-13 17:03:29,322-日志信息：测试用例：输入错误的会员id-Error，报错：1007 != 2
test_withdraw.py-45-tester-2020-04-13 17:03:29,547-日志信息：测试用例：不输入提现的金额执行中。。。
test_withdraw.py-60-tester-2020-04-13 17:03:29,602-日志信息：测试用例：不输入提现的金额-OK
test_withdraw.py-45-tester-2020-04-13 17:03:30,077-日志信息：测试用例：提现金额输入：-1执行中。。。
test_withdraw.py-60-tester-2020-04-13 17:03:30,130-日志信息：测试用例：提现金额输入：-1-OK
test_withdraw.py-45-tester-2020-04-13 17:03:30,387-日志信息：测试用例：提现金额输入为0执行中。。。
test_withdraw.py-65-tester-2020-04-13 17:03:30,435-日志信息：测试用例：提现金额输入为0-Error，报错：0 != 2
test_withdraw.py-45-tester-2020-04-13 17:03:30,671-日志信息：测试用例：提现金额输入为1执行中。。。
test_withdraw.py-65-tester-2020-04-13 17:03:30,727-日志信息：测试用例：提现金额输入为1-Error，报错：0 != 2
test_withdraw.py-45-tester-2020-04-13 17:03:30,947-日志信息：测试用例：提现金额输入为500000执行中。。。
test_withdraw.py-65-tester-2020-04-13 17:03:31,003-日志信息：测试用例：提现金额输入为500000-Error，报错：0 != 2
test_withdraw.py-45-tester-2020-04-13 17:03:31,219-日志信息：测试用例：提现金额输入：500001执行中。。。
test_withdraw.py-60-tester-2020-04-13 17:03:31,270-日志信息：测试用例：提现金额输入：500001-OK
test_withdraw.py-45-tester-2020-04-13 17:03:31,487-日志信息：测试用例：提现金额输入：2.2222执行中。。。
test_withdraw.py-60-tester-2020-04-13 17:03:31,543-日志信息：测试用例：提现金额输入：2.2222-OK
